route_id,agency_id,route_short_name,route_long_name,route_type
10667060,0,X,MicroBus X: Loma Pampa → Avenida Sexta,3
10667214,0,X,MicroBus X: Avenida Sexta → Loma Pampa,3
10667322,0,X,MicroBus X: Mineros San Juan → Avenida Sexta,3
10667416,0,X,MicroBus X: Avenida Sexta → Mineros San Juan,3
10667926,0,Y,MicroBus Y: Achumani → Avenida Melchor Pérez de Olguín,3
10668749,0,P,Trufi P: Maica Central → Calle Gran Chaco,3
10677513,0,S,MicroBus S: Avenida Blanco Galindo → Calle Mendoza,3
10677554,0,T,Trufi T: Villa Coña Coña → Calle Sacaca,3
10687570,0,8,MiniBus 8: El Abra → Avenida YPFB,3
10688684,0,8,MiniBus 8: Lomas de Santa Bárbara → El Abra,3
10688766,0,9,MiniBus 9: Calle María Nuñez del Prado → San Marcos,3
10688865,0,9,MiniBus 9: San Marcos → Calle María Nuñez del Prado,3
10691742,0,14,MiniBus 14: Caico Alto → Calle Raul Rivero Torres,3
10692360,0,14,MiniBus 14: Azurimaca → Calle Raul Rivero Torres,3
10692381,0,15,MiniBus 15: Torrentera Pajcha → Alto Valle Hermoso 5 de octubre,3
10694643,0,5,MiniBus 5: Avenida Circuncalación II → Ch'aska Rumi,3
10705506,0,W,MicroBus W: Calle Poopó → Irincollo,3
10708849,0,N,MicroBus N: Calle Severo Fernandez A. → Avenida Eliodoro Villazón,3
10709216,0,N,MicroBus N: Avenida Eliodoro Villazón → Calle Severo Fernandez A.,3
10709736,0,O,MicroBus O: Sau Sau Loma → Avenida Circuncalación II Doctor Martín Cárdenas Hermosa,3
10712108,0,O,MicroBus O: Avenida Circuncalación II Doctor Martín Cárdenas Hermosa → Sau Sau Loma,3
10712236,0,U,MicroBus U: Calle Manuel Virreira → Avenida Circuncalación II,3
10712279,0,U,MicroBus U: Avenida Circuncalación II → Calle Manuel Virreira,3
10712334,0,13,MiniBus 13: Avenida Chilimarca → Villa San Miguel,3
10716517,0,36,MiniBus 36: Calle T'ikallajta → Calle Lisandro Quiroga,3
10719025,0,120,Trufi 120: Univalle entrada → Calle Tupac Katari,3
10719095,0,120,TaxiTrufi 120: Calle Gualberto Villaroel → Calle Tupac Katari,3
10748432,0,13,MiniBus 13: Villa San Miguel → Avenida Chilimarca,3
10786869,0,K,MicroBus K: Avenida Arquímedes → Avenida del Ruiseñor,3
10786894,0,I,MicroBus I: Calle La Rioja → Avenida Circunvalación Beijing,3
10786946,0,3,MiniBus 3: Francis Peyton Rous → Aeropuerto → Valeriana,3
10786973,0,5,MiniBus 5: Ch'aska Rumi → Avenida Circuncalación II,3
10789860,0,Taquiña,Trufi Taquiña: Planta Taquiña → Cruce Taquiña,3
10807446,0,T,MicroBus T: Calle Sacaca → Villa Coña Coña,3
11103749,0,F,Microbus F: La Maica Chica → Calle 2,3
11103802,0,F,MicroBus F: Calle 2 → La Maica Chica,3
