route_id,agency_id,route_short_name,route_long_name,route_type
7456492,0,41,Trotro 41 : Asofan → Abeka Lapaz,3
7456496,0,524,Trotro 524 : Banana Inn → Accra New Tema Station,3
7457497,0,43,Trotro 43 : Abeka Lapaz → Bubiashie,3
7457633,0,523,Trotro 523 : Accra New Tema Station → Trade Fair (La),3
7457668,0,43,Trotro 43 : Bubiashie → Abeka Lapaz,3
7457867,0,522,Trotro 522 : Accra New Tema Station → Sukura,3
7458019,0,522,Trotro 522 : Sukura → Accra New Tema Station,3
7458035,0,52,Trotro 52 : Abeka Lapaz → Mayera,3
7458155,0,492,Trotro 492 : Tabora Alhaji → Kaneshie Station,3
7458272,0,52,Trotro 52 : Mayera → Abeka Lapaz,3
7458319,0,492,Trotro 492 : Kaneshie Station → Tabora Alhaji,3
7458410,0,488,Trotro 488 : Sukura → Arena,3
7458464,0,55,Trotro 55 : Abeka Lapaz → Osu,3
7458534,0,55,Trotro 55 : Osu → Abeka Lapaz,3
7458710,0,488,Trotro 488 : Arena → Sukura,3
7458953,0,486,Trotro 486 : Soko → Accra Post Office,3
7458997,0,486,Trotro 486 : Accra Post Office → Soko,3
7459268,0,283,Trotro 283 : Kaneshie Foot Bridge → Makola Tudu,3
7459269,0,476,Trotro 476 : Accra Salaga → Camara,3
7459274,0,476,Trotro 476 : Camara → Accra Salaga,3
7459789,0,283,Trotro 283 : Makola Tudu → Kaneshie Foot Bridge,3
7459883,0,470,Trotro 470 : Accra Rawlings Park → Osu Penta Hotel,3
7459937,0,470,Trotro 470 : Osu Penta Hotel → Accra Rawlings Park,3
7459943,0,284,Trotro 284 : Kaneshie Market Station → Agyapa Ye North Kaneshie,3
7459984,0,284,Trotro 284 : Agyapa Ye North Kaneshie → Kaneshie Market Station,3
7460020,0,456,Trotro 456 : Osu → Madina,3
7460118,0,456,Trotro 456 : Madina → Osu,3
7460211,0,286,Trotro 286 : Kaneshie Market Station → New Fadama,3
7460240,0,455,Trotro 455 : Osu → Kaneshie,3
7460301,0,286,Trotro 286 : New Fadama → Kaneshie Market Station,3
7460368,0,455,Trotro 455 : Kaneshie → Osu,3
7460472,0,287,Trotro 287 : Kaneshie Market Station → North Industrial Area,3
7460522,0,452,Trotro 452 : Orgle-Road → Kaneshie,3
7460557,0,287,Trotro 287 : North Industrial Area → Kaneshie Market Station,3
7460577,0,452,Trotro 452 : Kaneshie → Orgle-Road,3
7460627,0,288,Trotro 288 : Kaneshie → Swanlake,3
7460658,0,288,Trotro 288 : Swanlake → Kaneshie,3
7460801,0,290,Trotro 290 : Kaneshie Takoradi Station → Dansoman Last Stop,3
7460874,0,290,Trotro 290 : Dansoman Last Stop → Kaneshie Takoradi Station,3
7460910,0,291,Trotro 291 : Kaneshie Takoradi Station → Korle Bu,3
7460916,0,291,Trotro 291 : Korle Bu → Kaneshie Takoradi Station,3
7461508,0,447,Trotro 447 : Opetekwei → Accra New Tema Station,3
7461550,0,447,Trotro 447 : Accra New Tema Station → Opetekwei,3
7461636,0,293,Trotro 293 : Kaneshie Takoradi Station → Mamprobi C Lante,3
7461655,0,293,Trotro 293 : Mamprobi C Lante → Kaneshie Takoradi Station,3
7461665,0,436,Trotro 436 : Odorkor → Official Town,3
7461690,0,295,Trotro 295 : Kaneshie Takoradi Station → New Russia Last Stop,3
7461708,0,436,Trotro 436 : Official Town → Odorkor,3
7461711,0,295,Trotro 295 : New Russia Last Stop → Kaneshie Takoradi Station,3
7461768,0,296,Trotro 296 : Kaneshie Takoradi Station → Russia Last Stop,3
7461775,0,296,Trotro 296 : Russia Last Stop → Kaneshie Takoradi Station,3
7461834,0,435,Trotro 435 : Odorkor → Kasoa,3
7461838,0,435,Trotro 435 : Kasoa → Odorkor,3
7461911,0,299,Trotro 299 : Korle Bu → Abeka Lapaz,3
7461922,0,299,Trotro 299 : Abeka Lapaz → Korle Bu,3
7462285,0,301,Trotro 301 : Korle Bu → Kasoa,3
7462383,0,301,Trotro 301 : Kasoa → Korle Bu,3
7462748,0,431,Trotro 431 : Circle Odorna → Korle Bu,3
7462792,0,305,Trotro 305 : Kaneshie → Dansoman,3
7462917,0,431,Trotro 431 : Korle Bu → Circle Odorna,3
7462990,0,305,Trotro 305 : Dansoman → Kaneshie,3
7463052,0,428,Trotro 428 : Circle Odorna → Tsui Bleoo,3
7463167,0,99,Trotro 99 : Achimota → Legon,3
7463339,0,99,Trotro 99 : Legon → Achimota,3
7463403,0,423,Trotro 423 : Odorna → Nima Mamobi,3
7463516,0,423,Trotro 423 : Nima Mamobi → Odorna,3
7463559,0,419,Trotro 419 : Odorna → Agblezah,3
7463937,0,416,Trotro 416 : Accra New Tema Station → Cantonments,3
7463965,0,416,Trotro 416 : Cantonments → Accra New Tema Station,3
7464613,0,66,Trotro 66 : Accra → Nima,3
7465662,0,66,Trotro 66 : Nima → Accra,3
7465985,0,71,Trotro 71 : Accra End of the Motorway → American House,3
7466032,0,71,Trotro 71 : American House → Accra End of the Motorway,3
7466448,0,415,Trotro 415 : Nima Station → Nyaho,3
7466632,0,415,Trotro 415 : Nyaho → Nima Station,3
7466810,0,90,Trotro 90 : Achimota → Darkuman,3
7466825,0,90,Trotro 90 : Darkuman → Achimota,3
7466879,0,414,Trotro 414 : Nima Station → Madina,3
7466923,0,414,Trotro 414 : Madina → Nima Station,3
7467149,0,410,Trotro 410 : Nima Overhead → Sukura Station,3
7467238,0,410,Trotro 410 : Sukura Station → Nima Overhead,3
7467358,0,405,Trotro 405 : Nima Overhead → Lapaz-Nii Boi Junction,3
7467377,0,405,Trotro 405 : Lapaz-Nii Boi Junction → Nima Overhead,3
7467662,0,107,Trotro 107 : Achimota → Ofankor,3
7467671,0,107,Trotro 107 : Ofankor → Achimota,3
7467775,0,192,Trotro 192 : Circle → Fadama Last stop,3
7467835,0,192,Trotro 192 : Fadama Last stop → Circle,3
7467942,0,200,Trotro 200 : Circle → New Melcom,3
7467945,0,200,Trotro 200 : New Melcom → Circle,3
7467968,0,202,Trotro 202 : Circle → Novotel,3
7467970,0,202,Trotro 202 : Novotel → Circle,3
7468317,0,204,Trotro 204 : Circle → Osu Presby,3
7468337,0,204,Trotro 204 : Osu Presby → Circle,3
7471262,0,205,Trotro 205 : Circle → Osu RE,3
7471278,0,205,Trotro 205 : Osu RE → Circle,3
7471344,0,206,Trotro 206 : Circle → Osu RE,3
7471361,0,206,Trotro 206 : Osu RE → Circle,3
7471386,0,207,Trotro 207 : Circle → Ridge Hospital,3
7471405,0,207,Trotro 207 : Ridge Hospital → Circle,3
7471482,0,208,Trotro 208 : Circle → Stadium,3
7471608,0,208,Trotro 208 : Stadium → Circle,3
7471704,0,210,Trotro 210 : Circle → Teachers Hall,3
7471821,0,210,Trotro 210 : Teachers Hall → Circle,3
7471894,0,404,Trotro 404 : Nima Overhead → Dome Railway Crossing,3
7471917,0,404,Trotro 404 : Dome Railway Crossing → Nima Overhead,3
7472024,0,402,Trotro 402 : Nima Overhead → Awoshie Last Stop,3
