shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
9085564,-17.4519003,-66.114834,0
9085564,-17.4518274,-66.1148245,1
9085564,-17.4515471,-66.1148178,2
9085564,-17.4513777,-66.114801,3
9085564,-17.4512377,-66.114881,4
9085564,-17.4510977,-66.114961,5
9085564,-17.4509254,-66.1150654,6
9085564,-17.450838,-66.1151184,7
9085564,-17.450838,-66.1151184,8
9085564,-17.4506348,-66.1152013,9
9085564,-17.4506348,-66.1152013,10
9085564,-17.4504706,-66.1152519,11
9085564,-17.4501819,-66.1153044,12
9085564,-17.4496835,-66.115395,13
9085564,-17.4496835,-66.115395,14
9085564,-17.449157,-66.1154768,15
9085564,-17.4486466,-66.1155835,16
9085564,-17.4486466,-66.1155835,17
9085564,-17.4487,-66.1158096,18
9085564,-17.4487253,-66.1159166,19
9085564,-17.4488003,-66.1162343,20
9085564,-17.4489286,-66.1167779,21
9085564,-17.4489286,-66.1167779,22
9085564,-17.4476841,-66.1167415,23
9085564,-17.4476841,-66.1167415,24
9085564,-17.447611,-66.1167394,25
9085564,-17.447611,-66.1167394,26
9085564,-17.4474923,-66.1167325,27
9085564,-17.4471706,-66.1167139,28
9085564,-17.4464048,-66.1166903,29
9085564,-17.4464048,-66.1166903,30
9085564,-17.4462155,-66.1166778,31
9085564,-17.4460579,-66.1166674,32
9085564,-17.4458592,-66.1166543,33
9085564,-17.4457679,-66.1166483,34
9085564,-17.445501,-66.1166331,35
9085564,-17.445501,-66.1166331,36
9085564,-17.4452236,-66.1166195,37
9085564,-17.4452236,-66.1166195,38
9085564,-17.4452227,-66.1167965,39
9085564,-17.4452227,-66.1167965,40
9085564,-17.4451527,-66.117403,41
9085564,-17.4450795,-66.1180317,42
9085564,-17.4450795,-66.1180317,43
9085564,-17.4449314,-66.1192695,44
9085564,-17.4449314,-66.1192695,45
9085564,-17.4448638,-66.1192985,46
9085564,-17.4440845,-66.1197416,47
9085564,-17.4440845,-66.1197416,48
9085564,-17.4437138,-66.1199496,49
9085564,-17.4436038,-66.1199976,50
9085564,-17.4434993,-66.1200119,51
9085564,-17.4424598,-66.1200629,52
9085564,-17.4419823,-66.1200823,53
9085564,-17.4419823,-66.1200823,54
9085564,-17.4413262,-66.120109,55
9085564,-17.4409672,-66.1201082,56
9085564,-17.440845,-66.1200899,57
9085564,-17.4407239,-66.1200625,58
9085564,-17.4403936,-66.1199315,59
9085564,-17.4392577,-66.1194599,60
9085564,-17.4391124,-66.1194099,61
9085564,-17.4388615,-66.1193574,62
9085564,-17.4387738,-66.1193564,63
9085564,-17.4387738,-66.1193564,64
9085564,-17.4385495,-66.1193769,65
9085564,-17.4385495,-66.1193769,66
9085564,-17.4385688,-66.1195707,67
9085564,-17.4385688,-66.1195707,68
9085564,-17.438771,-66.1195447,69
9085564,-17.4388759,-66.1195532,70
9085564,-17.4389898,-66.1196018,71
9085564,-17.4397172,-66.1198811,72
9085564,-17.4404127,-66.1201378,73
9085564,-17.4405194,-66.120204,74
9085564,-17.4405194,-66.120204,75
9085564,-17.4404746,-66.1204268,76
9085564,-17.4403296,-66.1214284,77
9085564,-17.4403125,-66.1215466,78
9085564,-17.4403125,-66.1215466,79
9085564,-17.4401524,-66.1226291,80
9085564,-17.4401524,-66.1226291,81
9085564,-17.4400795,-66.1230961,82
9085564,-17.4399908,-66.1236637,83
9085564,-17.4399908,-66.1236637,84
9085564,-17.4397802,-66.125035,85
9085564,-17.4397802,-66.125035,86
9085564,-17.4396535,-66.1250359,87
9085564,-17.4395548,-66.1250359,88
9085564,-17.4394583,-66.1250765,89
9085564,-17.4392971,-66.1252079,90
9085564,-17.4390301,-66.1254363,91
9085564,-17.4388083,-66.1256424,92
9085564,-17.4387034,-66.1257095,93
9085564,-17.4386646,-66.1257233,94
9085564,-17.4385832,-66.1257524,95
9085564,-17.4384757,-66.1257631,96
9085564,-17.438349,-66.1257497,97
9085564,-17.4375365,-66.125544,98
9085564,-17.4375365,-66.125544,99
9085564,-17.436575,-66.125354,100
9085564,-17.4363743,-66.1253158,101
9085564,-17.4362769,-66.12528,102
9085564,-17.436163,-66.125238,103
9085564,-17.4359869,-66.1251714,104
9085564,-17.4358614,-66.1251376,105
9085564,-17.4357341,-66.1251269,106
